Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,150.00,153.00,149.00,152.00,152.00,1000000
2024-04-02,152.50,155.00,151.50,154.00,154.00,1100000
2024-04-03,154.20,156.00,153.50,155.50,155.50,1200000
2024-04-04,155.60,157.00,154.60,156.80,156.80,1150000
2024-04-05,156.90,158.00,155.50,157.50,157.50,1080000
2024-04-06,157.60,160.00,157.00,159.80,159.80,1300000
2024-04-07,160.00,162.00,159.00,161.50,161.50,1250000
2024-04-08,161.70,163.00,160.50,162.20,162.20,1170000
2024-04-09,162.50,165.00,161.00,164.00,164.00,1400000
2024-04-10,164.10,166.00,163.00,165.80,165.80,1500000
